product_sku,name,category,subcategory,brand,price,discount_pct,stock_qty,rating,review_count,is_new_arrival,tags,color,size_range,description,image_url,collection
SKU_000001,Classic White Denim,Denim,Kids,Foundry,353.57,15,782,3.3,734,False,limited|athletic|trending,White,6-14,A classic white piece from our Denim collection. Crafted for comfort and style.,https://shopmind.demo/images/SKU_000001.jpg,Summer 2025
SKU_000002,Classic Olive Activewear,Activewear,Unisex,LuxLine,231.21,25,4,4.8,2855,False,new-arrival|sustainable,Olive,S-XXL,A classic olive piece from our Activewear collection. Crafted for comfort and style.,https://shopmind.demo/images/SKU_000002.jpg,Summer 2025
SKU_000003,Essential Burgundy Outerwear,Outerwear,Kids,Arc,157.53,0,72,4.0,4101,False,casual,Burgundy,S-XXL,A essential burgundy piece from our Outerwear collection. Crafted for comfort and style.,https://shopmind.demo/images/SKU_000003.jpg,Winter 2025
SKU_000004,Tech White Footwear,Footwear,Unisex,Atelier,71.7,0,360,2.9,4444,False,limited|trending|workwear,White,S-XXL,A tech white piece from our Footwear collection. Crafted for comfort and style.,https://shopmind.demo/images/SKU_000004.jpg,Fall 2025
SKU_000005,Classic Cobalt Accessories,Accessories,Women's,LuxLine,171.93,0,131,4.1,3268,False,casual,Cobalt,6-14,A classic cobalt piece from our Accessories collection. Crafted for comfort and style.,https://shopmind.demo/images/SKU_000005.jpg,Summer 2025
SKU_000006,Elevated Terracotta Basics,Basics,Unisex,Arc,399.31,10,517,4.7,4064,False,sustainable|premium,Terracotta,6-14,A elevated terracotta piece from our Basics collection. Crafted for comfort and style.,https://shopmind.demo/images/SKU_000006.jpg,Spring 2026
SKU_000007,Slim Black Formal,Formal,Unisex,NeoFit,354.04,25,460,3.1,3968,False,limited,Black,S-XXL,A slim black piece from our Formal collection. Crafted for comfort and style.,https://shopmind.demo/images/SKU_000007.jpg,Summer 2025
SKU_000008,Tech Navy Swimwear,Swimwear,Kids,CoreBasics,147.21,0,484,4.9,425,False,sustainable|limited,Navy,S-XXL,A tech navy piece from our Swimwear collection. Crafted for comfort and style.,https://shopmind.demo/images/SKU_000008.jpg,Winter 2025
SKU_000009,Premium Camel Loungewear,Loungewear,Men's,Atelier,234.21,20,677,4.1,3726,False,bestseller,Camel,XS-3XL,A premium camel piece from our Loungewear collection. Crafted for comfort and style.,https://shopmind.demo/images/SKU_000009.jpg,Summer 2025
SKU_000010,Slim Cream Sportswear,Sportswear,Unisex,Atelier,203.78,25,505,3.0,4516,False,trending|limited,Cream,6-14,A slim cream piece from our Sportswear collection. Crafted for comfort and style.,https://shopmind.demo/images/SKU_000010.jpg,Spring 2026
SKU_000011,Elevated Grey Denim,Denim,Unisex,LuxLine,177.68,5,988,3.4,69,False,bestseller|workwear|casual|sustainable,Grey,XS-3XL,A elevated grey piece from our Denim collection. Crafted for comfort and style.,https://shopmind.demo/images/SKU_000011.jpg,Capsule
SKU_000012,Relaxed Grey Activewear,Activewear,Men's,LuxLine,98.69,0,699,3.9,952,False,trending,Grey,S-XXL,A relaxed grey piece from our Activewear collection. Crafted for comfort and style.,https://shopmind.demo/images/SKU_000012.jpg,Winter 2025
SKU_000013,Relaxed Camel Outerwear,Outerwear,Women's,UrbanThread,147.69,30,720,4.7,2279,False,athletic|limited|premium|casual,Camel,6-14,A relaxed camel piece from our Outerwear collection. Crafted for comfort and style.,https://shopmind.demo/images/SKU_000013.jpg,Winter 2025
SKU_000014,Slim Grey Footwear,Footwear,Men's,Arc,165.91,25,72,3.9,1132,False,limited|new-arrival,Grey,6-14,A slim grey piece from our Footwear collection. Crafted for comfort and style.,https://shopmind.demo/images/SKU_000014.jpg,Fall 2025
SKU_000015,Elevated Cream Accessories,Accessories,Unisex,CoreBasics,365.1,0,818,3.1,2081,False,premium,Cream,6-14,A elevated cream piece from our Accessories collection. Crafted for comfort and style.,https://shopmind.demo/images/SKU_000015.jpg,Winter 2025
SKU_000016,Classic Camel Basics,Basics,Men's,PeakWear,270.28,5,606,4.8,330,True,limited,Camel,XS-3XL,A classic camel piece from our Basics collection. Crafted for comfort and style.,https://shopmind.demo/images/SKU_000016.jpg,Spring 2026
SKU_000017,Elevated Navy Formal,Formal,Women's,DriftCo,213.75,5,640,4.9,4213,False,limited,Navy,S-XXL,A elevated navy piece from our Formal collection. Crafted for comfort and style.,https://shopmind.demo/images/SKU_000017.jpg,Spring 2026
SKU_000018,Slim White Swimwear,Swimwear,Unisex,Foundry,168.81,5,616,3.7,1855,False,collab|bestseller|new-arrival,White,XS-XL,A slim white piece from our Swimwear collection. Crafted for comfort and style.,https://shopmind.demo/images/SKU_000018.jpg,Winter 2025
SKU_000019,Essential Olive Loungewear,Loungewear,Unisex,DriftCo,293.87,25,480,5.0,2324,False,collab|workwear|new-arrival|athletic,Olive,S-XXL,A essential olive piece from our Loungewear collection. Crafted for comfort and style.,https://shopmind.demo/images/SKU_000019.jpg,Spring 2026
SKU_000020,Classic Cobalt Sportswear,Sportswear,Women's,CoreBasics,89.34,15,800,3.9,4588,False,casual|workwear|limited|sustainable,Cobalt,S-XXL,A classic cobalt piece from our Sportswear collection. Crafted for comfort and style.,https://shopmind.demo/images/SKU_000020.jpg,Winter 2025
SKU_000021,Premium Olive Denim,Denim,Unisex,Arc,296.53,5,312,3.9,4545,False,trending|premium,Olive,6-14,A premium olive piece from our Denim collection. Crafted for comfort and style.,https://shopmind.demo/images/SKU_000021.jpg,Spring 2026
SKU_000022,Tech Olive Activewear,Activewear,Unisex,Arc,402.47,0,488,3.6,676,False,athletic|new-arrival|bestseller,Olive,6-14,A tech olive piece from our Activewear collection. Crafted for comfort and style.,https://shopmind.demo/images/SKU_000022.jpg,Spring 2026
SKU_000023,Tech Navy Outerwear,Outerwear,Unisex,DriftCo,325.86,15,836,4.8,3086,False,trending|premium|bestseller|new-arrival,Navy,XS-3XL,A tech navy piece from our Outerwear collection. Crafted for comfort and style.,https://shopmind.demo/images/SKU_000023.jpg,Fall 2025
SKU_000024,Tech Navy Footwear,Footwear,Men's,UrbanThread,246.39,30,180,3.5,4757,False,trending|workwear|premium,Navy,S-XXL,A tech navy piece from our Footwear collection. Crafted for comfort and style.,https://shopmind.demo/images/SKU_000024.jpg,Spring 2026
SKU_000025,Essential Cream Accessories,Accessories,Men's,Foundry,370.25,40,628,3.9,4182,False,collab|new-arrival|workwear|bestseller,Cream,XS-XL,A essential cream piece from our Accessories collection. Crafted for comfort and style.,https://shopmind.demo/images/SKU_000025.jpg,Spring 2026
